Saint-Jean-de-la-Ruelle: 1.8717431; 47.9098024!
Courbevoie: 2.2563404; 48.8952393!
Livry-Gargan: 2.5298854; 48.917335!
Orange: 4.8078783; 44.1371311!
Beauvais: 2.0866699; 49.4409001!
Vernouillet: 1.3680263; 48.7169279!
Écully: 4.77342; 45.7824!
Albertville: 6.3903056; 45.6746178!
Méru: 2.1343983; 49.2362758!
Gennevilliers: 2.2940122; 48.9254221!
Bully-les-Mines: 2.71989; 50.4464!
Éragny: 2.1018056; 49.0214986!
Pont-à-Mousson: 6.0522022; 48.9050827!
Thouars: -0.2153741; 46.9790193!
Mouvaux: 3.13689; 50.7029!
Sceaux: 2.2934309; 48.777449!
Vesoul: 6.1566367; 47.6236088!
La Courneuve: 2.3896123; 48.9267236!
Épernay: 3.9551593; 49.0436181!
Carrières-sous-Poissy: 2.0324724; 48.9427668!
Graulhet: 1.99723; 43.7578!
Le Pré-Saint-Gervais: 2.4038877; 48.8829401!
Bagnols-sur-Cèze: 4.6235831; 44.160481!
Morlaix: -3.8331972; 48.5824932!
Montargis: 2.7364119; 47.9990047!
Saint-Gaudens: 0.7247218; 43.1077682!
Suresnes: 2.2252883; 48.8710147!
Autun: 4.2985296; 46.9493444!
Berre-l'Étang: 5.1681405; 43.4740673!
Ambérieu-en-Bugey: 5.3595099; 45.9584309!
Le Puy-en-Velay: 3.8855537; 45.0459739!
Oullins: 4.80271; 45.7157!
Rodez: 2.5733006; 44.3510012!
Villenave-d'Ornon: -0.5595029; 44.7737872!
Issoire: 3.2502213; 45.5432973!
Gujan-Mestras: -1.0845304; 44.6338602!
Fameck: 6.1036754; 49.3043797!
Montataire: 2.4342569; 49.2561311!
Villiers-sur-Marne: 2.5406696; 48.8262055!
Rixheim: 7.4092669; 47.7514996!
Vénissieux: 4.88079; 45.7036!
Seyssinet-Pariset: 5.6964638; 45.1781539!
Fleury-les-Aubrais: 1.9223668; 47.942907!
Valenciennes: 3.5266657; 50.3594889!
Haubourdin: 2.9864421; 50.6093554!
Montigny-lès-Cormeilles: 2.1961199; 48.9948001!
Les Mureaux: 1.9090697; 48.9958047!
L'Haÿ-les-Roses: 2.3369786; 48.7776577!
Déville-lès-Rouen: 1.0500261; 49.4692523!
Ussel: 2.311227; 45.5463792!
Chaville: 2.1883487; 48.8086915!
Bollène: 4.7484092; 44.2803882!
Bruay-la-Buissière: 2.55377; 50.4919!
Saint-Gratien: 2.2849166; 48.9687035!
Privas: 4.5986733; 44.7352708!
Montfermeil: 2.5660399; 48.8992679!
Saint-Maurice: 2.4420702; 48.8176111!
Saint-André-les-Vergers: 4.04578; 48.2761!
Villeneuve-lès-Avignon: 4.7974288; 43.9625312!
Lens: 2.8319805; 50.4291723!
Alfortville: 2.4277061; 48.7928634!
Bellegarde-sur-Valserine: 5.8260591; 46.1076292!
Le Cannet: 7.0048289; 43.5717056!
Goussainville: 2.4733628; 49.0323168!
Tourcoing: 3.1620566; 50.7275415!
Argenteuil: 2.2481797; 48.9479069!
Pertuis: 5.5032671; 43.6951468!
Loos: 3.0162523; 50.6092082!
Saint-Amand-Montrond: 2.5046503; 46.7227062!
Bouguenais: -1.6233691; 47.179301!
Saint-Priest: 4.9441635; 45.6965347!
Sartrouville: 2.17761; 48.9384!
La Seyne-sur-Mer: 5.8788948; 43.1007714!
Bourg-lès-Valence: 4.8953847; 44.9528222!
Yzeure: 3.3530594; 46.5675779!
Gif-sur-Yvette: 2.134529; 48.7018823!
Le Grand-Quevilly: 1.0507926; 49.4068986!
Cormeilles-en-Parisis: 2.2003797; 48.9708972!
Chalon-sur-Saône: 4.8529507; 46.7889172!
Sainte-Geneviève-des-Bois: 2.3283953; 48.6424322!
Parthenay: -0.2472687; 46.6481266!
Fontainebleau: 2.7015872; 48.4049375!
Apt: 5.3970648; 43.8757936!
Nogent-sur-Marne: 2.4810318; 48.8353038!
Saint-Avold: 6.7071754; 49.1043397!
Thiais: 2.3910024; 48.764359!
Saint-Médard-en-Jalles: -0.7157771; 44.8967676!
Fontenay-sous-Bois: 2.47251; 48.8508!
Arras: 2.7658931; 50.2901986!
Mont-de-Marsan: -0.500972; 43.8911318!
Pessac: -0.6302789; 44.8055629!
Champigny-sur-Marne: 2.5146966; 48.8183035!
Sallaumines: 2.86457; 50.4199!
Nevers: 3.1599641; 46.9939033!
Issy-les-Moulineaux: 2.2734713; 48.8244968!
Créteil: 2.4557829; 48.7815067!
Boissy-Saint-Léger: 2.5121047; 48.7498882!
Laval: -0.7723499; 48.0710377!
Longjumeau: 2.2958872; 48.6942158!
Mitry-Mory: 2.6183971; 48.9839674!
Villerupt: 5.9301466; 49.4709744!
Romans-sur-Isère: 5.0522438; 45.0453463!
Sélestat: 7.454217; 48.2594396!
Hennebont: -3.2650587; 47.8052482!
Charenton-le-Pont: 2.40707; 48.8219!
Courrières: 2.94621; 50.4521!
Rueil-Malmaison: 2.1808837; 48.8693888!
Saran: 1.8764209; 47.9494039!
Le Bouscat: -0.5992399; 44.8661755!
Auchel: 2.46753; 50.5109!
Bischwiller: 7.8612059; 48.7663318!
Coulommiers: 3.09228; 48.8094!
Fresnes: 2.3258651; 48.754407!
Saint-Cloud: 2.2045308; 48.8426!
Noisy-le-Sec: 2.45468; 48.8905772!
La Teste-de-Buch: -1.1753424; 44.6227148!
Maurepas: 1.945148; 48.7618735!
Trélazé: -0.4652452; 47.4460674!
Plaisir: 1.9476363; 48.817399!
Vallauris: 7.05859; 43.5761001!
Halluin: 3.1248979; 50.774703!
Cesson-Sévigné: -1.5955935; 48.1223672!
Châtenay-Malabry: 2.2781646; 48.7661105!
Bobigny: 2.4423279; 48.90842!
Lambersart: 3.0223644; 50.6477924!
La Chapelle-Saint-Luc: 4.0413095; 48.3185478!
Saint-Dié-des-Vosges: 6.951128; 48.2844762!
Domont: 2.3246147; 49.0265377!
Soisy-sous-Montmorency: 2.3034889; 48.990412!
Mâcon: 4.8325066; 46.3034503!
Brétigny-sur-Orge: 2.3051753; 48.6079758!
Roquebrune-sur-Argens: 6.6366368; 43.4431035!
Wattignies: 3.0399807; 50.5861341!
Gaillac: 1.8967943; 43.9016766!
Cavaillon: 5.0393165; 43.8322775!
Cholet: -0.8801349; 47.0617293!
Angoulême: 0.1568658; 45.6496755!
Fourmies: 4.0559; 50.006!
Marly-le-Roi: 2.093387; 48.8670484!
Riedisheim: 7.3646258; 47.7408594!
Mantes-la-Jolie: 1.7140683; 48.9891971!
La Madeleine: 3.0678164; 50.6565418!
Oissel: 1.06938; 49.3457!
Saint-Sébastien-sur-Loire: -1.4992075; 47.2035029!
Muret: 1.3262332; 43.4599858!
Concarneau: -3.9223889; 47.8757017!
Sevran: 2.5289296; 48.9372068!
Melun: 2.6591996; 48.5353807!
Montélimar: 4.750318; 44.5579391!
Ris-Orangis: 2.41044; 48.6442!
Vauréal: 2.0205773; 49.0300763!
Barentin: 0.9502671; 49.5468336!
Raismes: 3.4834; 50.4058!
Hœnheim: 7.7552862; 48.6250489!
Élancourt: 1.949352; 48.7681182!
Belfort: 6.8628959; 47.6379311!
Liévin: 2.7738; 50.4245!
Villefranche-sur-Saône: 4.726611; 45.9864749!
Draguignan: 6.4655798; 43.5398458!
Saint-Jean-de-Braye: 1.9737186; 47.9200018!
Garges-lès-Gonesse: 2.399024; 48.9703841!
Beausoleil: 7.4219677; 43.748281!
Lagny-sur-Marne: 2.7121663; 48.8735584!
Saint-Just-Saint-Rambert: 4.2440138; 45.5005319!
Cambrai: 3.2356613; 50.1759602!
Illzach: 7.3486211; 47.7830669!
Provins: 3.2973927; 48.561258!
Évry: 2.438; 48.6311001!
Caluire-et-Cuire: 4.8423688; 45.7969996!
Schiltigheim: 7.7500608; 48.6076873!
Vigneux-sur-Seine: 2.4302405; 48.7034214!
Albi: 2.147899; 43.9277552!
Grasse: 6.9239103; 43.6589011!
Châteauneuf-les-Martigues: 5.1645308; 43.3805116!
Vernon: 1.4886571; 49.0917814!
Le Pont-de-Claix: 5.6978136; 45.1236837!
Ermont: 2.2587986; 48.9891381!
Cachan: 2.3340758; 48.7945413!
La Crau: 6.0934922; 43.1661259!
Carmaux: 2.152102; 44.0500469!
Sucy-en-Brie: 2.5221284; 48.7711323!
Bagnolet: 2.4173658; 48.8688199!
Nemours: 2.6953079; 48.268026!
Vertou: -1.4721598; 47.1684409!
Bezons: 2.2105491; 48.9250016!
Rive-de-Gier: 4.6086117; 45.5205959!
Thonon-les-Bains: 6.4779448; 46.3731303!
Pont-Sainte-Maxence: 2.6045838; 49.3012483!
Saint-Martin-Boulogne: 1.6467738; 50.7229048!
Tarare: 4.4371374; 45.8942555!
Amboise: 0.983698; 47.4110351!
Villeneuve-d'Ascq: 3.1469875; 50.6294204!
Outreau: 1.5845684; 50.7036916!
Rochefort: -0.969019; 45.9442!
Bruay-sur-l'Escaut: 3.542827; 50.3973009!
Guipavas: -4.4018204; 48.4350225!
Fécamp: 0.374891; 49.7577729!
Dunkerque: 2.3772525; 51.0347708!
L'Isle-Adam: 2.2177513; 49.1123327!
Carrières-sur-Seine: 2.1779083; 48.9134112!
Saint-Fons: 4.84935; 45.7001!
Aurillac: 2.4433101; 44.9285441!
Colomiers: 1.3286499; 43.6121001!
Le Raincy: 2.5155626; 48.8986666!
Morsang-sur-Orge: 2.3527728; 48.6641415!
Orvault: -1.623206; 47.2711217!
Forbach: 6.8957413; 49.1861533!
Mons-en-Barœul: 3.1093516; 50.6428547!
Vendôme: 1.0661684; 47.7955178!
Avion: 2.82454; 50.4049!
Montigny-lès-Metz: 6.153041; 49.0999832!
Les Clayes-sous-Bois: 1.9934185; 48.8199643!
Bernay: 0.5989838; 49.0901294!
Valence: 4.8920811; 44.9332277!
Le Perreux-sur-Marne: 2.5080558; 48.8406703!
Pontivy: -2.9594341; 48.0642849!
Saint-Omer: 2.2536678; 50.7519911!
Chantilly: 2.4632567; 49.1939579!
Hazebrouck: 2.5360331; 50.7226113!
Tulle: 1.7706904; 45.2678158!
Montgeron: 2.46335; 48.6961!
Villeneuve-Loubet: 7.1217592; 43.6579947!
Allauch: 5.4832687; 43.3351381!
Floirac: -0.520823; 44.8327!
Bondues: 3.1007683; 50.7144178!
Chenôve: 5.00308; 47.2932!
Bolbec: 0.4733749; 49.5730959!
Castelnaudary: 1.9533495; 43.3192021!
Saint-Gilles: 4.4318488; 43.677007!
Istres: 4.9884323; 43.5139051!
Saumur: -0.0778427; 47.2597046!
Le Kremlin-Bicêtre: 2.3567467; 48.8088774!
Douai: 3.0761377; 50.3703683!
Saint-Chamond: 4.5017846; 45.4678974!
Val-de-Reuil: 1.19942; 49.3033!
Arnouville: 2.4187992; 48.9850039!
Cournon-d'Auvergne: 3.1961893; 45.739114!
Les Ponts-de-Cé: -0.5270662; 47.4286962!
Lourdes: -0.0464975; 43.0940904!
Toul: 5.8941759; 48.6762624!
Sainte-Maxime: 6.637714; 43.30871!
Marquette-lez-Lille: 3.0579254; 50.6734043!
Châlons-en-Champagne: 4.3628851; 48.9566218!
Pau: -0.3685785; 43.295791!
Aubagne: 5.5703031; 43.2924385!
Villeparisis: 2.6116541; 48.94279!
Nogent-sur-Oise: 2.4663799; 49.2775001!
Montivilliers: 0.1918673; 49.5452927!
Saint-Michel-sur-Orge: 2.3131074; 48.631202!
Chaumont: 5.1394503; 48.1118812!
Bois-Guillaume-Bihorel: 1.1200924; 49.4704784!
Saint-Amand-les-Eaux: 3.4374483; 50.4473073!
Champs-sur-Marne: 2.6009206; 48.8516672!
Salon-de-Provence: 5.0980217; 43.6405308!
Meyzieu: 5.0044767; 45.7764637!
Fontenay-aux-Roses: 2.2870373; 48.7911052!
Yerres: 2.4908799; 48.7149!
Pierrefitte-sur-Seine: 2.3608342; 48.9621458!
Villetaneuse: 2.3436609; 48.9609676!
Bonneuil-sur-Marne: 2.4869009; 48.7737116!
Antibes: 7.10905; 43.5836!
Louviers: 1.1646335; 49.2157245!
Niort: -0.464725; 46.3234863!
Sarcelles: 2.3796245; 48.9960813!
